Station Name,State,District,Month,Year,Temperature (in °C)
ALIRAJPUR,Madhya Pradesh,ALIRAJPUR,Jun,2010,25.51
BULSAR/ VALSAD,Gujarat,VALSAR,Jun,2010,25.10
PANJIM,Goa,GOA,Jun,2010,24.54
DHARMAPURI,Tamil Nadu,DHARMAPURI,Jun,2010,24.37
PANTNAGAR,Uttarakhand,UDHAM SINGH NAGAR,Jun,2010,24.07
MUMBAI (COLABA),Maharashtra,GREATER MUMBAI,Jun,2010,26.57
TONDI,Tamil Nadu,RAMANATHAPURAM,Jun,2010,27.26
CHAPRA,Bihar,SARAN,Jun,2010,25.21
BALASORE,Odisha,BALASORE,Jun,2010,27.04
VERAVAL,Gujarat,JUNAGAD,Jun,2010,27.67
PORT BLAIR,Andaman and Nicobar Islands,SOUTH ANDAMAN,Jun,2010,25.15
MEERUT,Uttar Pradesh,MEERUT,Jun,2010,26.29
AIZWAL / LENGPUI (A),Mizoram,AIZWAL,Jun,2010,22.28
CHHINDWARA,Madhya Pradesh,CHHINDWARA,Jun,2010,23.63
DIBRUGARH / MOHANBARI (A),Assam,DIBRUGARH,Jun,2010,23.98
SHANTINIKETAN,West Bengal,BIRBHUM,Jun,2010,25.86
SHEOPUR,Madhya Pradesh,SHEOPUR,Jun,2010,28.78
CHENNAI (MINAMBAKKAM (A)),Tamil Nadu,CHENNAI,Jun,2010,26.30
MAJBAT,Assam,DARRANG,Jun,2010,24.44
BARAPANI/UMROI(A),Meghalaya,RI BHOI,Jun,2010,20.80
ADIRAMPATTINAM,Tamil Nadu,THANJAVUR,Jun,2010,25.96
GONDIA,Maharashtra,GONDIA,Jun,2010,28.53
ONGOLE,Andhra Pradesh,PRAKASAM,Jun,2010,28.08
CHINTAMANI,Karnataka,KOLAR,Jun,2010,21.40
SRINAGAR,Jammu and Kashmir,SRINAGAR,Jun,2010,13.51
BANGALORE(A),Karnataka,BENGALURU URBAN,Jun,2010,20.68
MALANJKHAND,Madhya Pradesh,BALAGHAT,Jun,2010,25.22
NALIYA,Gujarat,KUTCH,Jun,2010,28.14
KOCHI A.P.(NEDUMBASSERY),Kerala,ERNAKULAM,Jun,2010,23.58
NAGPUR (A),Maharashtra,NAGPUR ,Jun,2010,27.57
BARODA(A),Gujarat,VADODRA,Jun,2010,28.43
ETAWAH,Uttar Pradesh,ETAWAH,Jun,2010,25.74
ADILABAD,Telangana,ADILABAD,Jun,2010,26.30
AROGYAVARAM,Andhra Pradesh,CHITTOOR,Jun,2010,23.23
BALLIA,Uttar Pradesh,BALLIA,Jun,2010,27.87
CHERRAPUNJI,Meghalaya,EAST KHASI HILLS,Jun,2010,18.19
DAVANAGERE PTO,Karnataka,DAVANAGERE,Jun,2010,21.94
JODHPUR,Rajasthan,JODHPUR,Jun,2010,29.25
KARAIKAL,Puducherry,PUDUCHERRY,Jun,2010,26.13
KARNAL,Haryana,KARNAL,Jun,2010,25.55
GUNA,Madhya Pradesh,GUNA,Jun,2010,27.46
NEW DELHI (SAFDARJUNG (A)),Delhi,SOUTH DELHI,Jun,2010,28.56
AMINI DIVI,Lakshadweep,LAKSHADWEEP,Jun,2010,26.05
BIKANER,Rajasthan,BIKANER,Jun,2010,29.47
TEZPUR,Assam,SONITPUR,Jun,2010,24.35
DINDIGUL (KAMATCHIPURAM),Tamil Nadu,DINDIGUL,Jun,2010,25.00
KHANDWA,Madhya Pradesh,EAST NIMAR,Jun,2010,24.08
BAHRAICH,Uttar Pradesh,BAHRAICH,Jun,2010,27.56
DABOLIM N.A.S.,Goa,SOUTH GOA,Jun,2010,25.73
JAGDALPUR,Chhattisgarh,BASTAR,Jun,2010,24.35
SUNDERNAGAR,Himachal Pradesh,MANDI,Jun,2010,18.34
PUNE,Maharashtra,PUNE,Jun,2010,23.27
PASIGHAT(A),Arunachal Pradesh,EAST SIANG,Jun,2010,22.72
SIDHI,Madhya Pradesh,SIDHI,Jun,2010,28.53
MORMUGAO,Goa,GOA,Jun,2010,25.52
BETUL,Madhya Pradesh,BETUL,Jun,2010,25.82
IMPHAL / TULIHAL(A),Manipur,IMPHAL EAST,Jun,2010,22.01
TITLAGARH,Odisha,BOLANGIR,Jun,2010,26.46
REWA,Madhya Pradesh,REWA,Jun,2010,27.34
KOZHIKODE,Kerala,KOZHIKODE,Jun,2010,24.70
BELGAUM / SAMBRE (A),Karnataka,BELGAUM,Jun,2010,20.87
BULDANA,Maharashtra,BULDANA,Jun,2010,23.73
BALURGHAT,West Bengal,SOUTH DINAJPUR,Jun,2010,24.42
CHIKALTHANA(A),Maharashtra,AURANGABAD,Jun,2010,24.27
TUTICORIN NEW PORT,Tamil Nadu,THOOTHUKUDI,Jun,2010,27.18
VARANASI / BABATPUR(A),Uttar Pradesh,VARANASI,Jun,2010,28.85
PAHALGAM,Jammu and Kashmir,ANATNAG,Jun,2010,7.73
BHOPAL / BAIRAGARH(A),Madhya Pradesh,BHOPAL ,Jun,2010,26.87
BANIHAL,Jammu and Kashmir,RAMBAN,Jun,2010,13.30
TEHRI NEW,Uttarakhand,TEHRI NEW,Jun,2010,18.46
HAVERI E.E.O,Karnataka,HAVERI,Jun,2010,22.34
PARBHANI,Maharashtra,PARBHANI,Jun,2010,25.66
GORAKHPUR PBO,Uttar Pradesh,GORAKHPUR,Jun,2010,26.12
NIZAMABAD,Telangana,NIZAMABAD,Jun,2010,27.03
MEDAK,Telangana,MEDAK,Jun,2010,25.51
VELLORE,Tamil Nadu,VELLORE,Jun,2010,24.25
CHURK,Uttar Pradesh,MIRZAPUR,Jun,2010,27.75
UNA,Himachal Pradesh,UNA,Jun,2010,20.73
MANGALORE(PANAMBUR),Karnataka,DAKSHIN KANNADA,Jun,2010,24.48
PUNALUR,Kerala,KOLLAM,Jun,2010,22.34
NARSAPUR,Andhra Pradesh,WEST GODAVARI,Jun,2010,27.98
SUNDARGARH,Odisha,SUNDERGARH,Jun,2010,26.78
CHITRADURGA,Karnataka,CHITRADURGA,Jun,2010,21.85
AMBALA,Haryana,AMBALA,Jun,2010,23.76
KANNUR (CANNAORE),Kerala,KANNUR,Jun,2010,23.92
CANNING,West Bengal,SOUTH 24 PARGANAS,Jun,2010,27.11
DELHI RIDGE,Delhi,NORTH DELHI,Jun,2010,27.54
BOLANGIR,Odisha,BOLANGIR,Jun,2010,23.27
